Item Name,Quantity,Link,Cost
ESP32-C3-SuperMini,1,Epro.pk Link,$2.60 
CZL-601 Aluminum Alloy 100kg Load Cell,1,AliExpress Link,$10.90 
HX711 Dual-Channel Weight ADC,1,Epro.pk Link,$0.60 
2.54mm Pitch Female Pin Header Strip 40P,1,Already own this,$0.00 
Micro-USB Cable,1,Already own this,$0.00 
5V / 2A Phone Charger,1,Already own this,$0.00 
3D Case,1,Epro.pk Link,$0.65 
Epro.pk Shipping Charges,-,-,$1.30 
AliExpress Taxes,-,-,$7.60 
PCB,5,PCBWay,$14.70 
TOTAL COST,,,$39 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
